Film,Award,Year,MetaCritic
Moonlight,Winner,2016,99
Arrival,Nominee,2016,81
Fences,Nominee,2016,79
Hacksaw Ridge,Nominee,2016,71
Hell or High Water,Nominee,2016,88
Hidden Figures,Nominee,2016,74
La La Land,Nominee,2016,93
Lion,Nominee,2016,69
Manchester by the Sea,Nominee,2016,96
The Shape of Water,Winner,2017,87
Call Me by Your Name,Nominee,2017,93
Darkest Hour,Nominee,2017,75
Dunkirk,Nominee,2017,94
Get Out,Nominee,2017,84
Lady Bird,Nominee,2017,94
Phantom Thread,Nominee,2017,90
The Post,Nominee,2017,83
"Three Billboards Outside Ebbing, Missouri",Nominee,2017,88
Green Book,Winner,2018,69
Black Panther,Nominee,2018,88
BlacKkKlansman,Nominee,2018,83
Bohemian Rhapsody,Nominee,2018,49
The Favourite,Nominee,2018,90
Roma,Nominee,2018,96
A Star Is Born,Nominee,2018,59
Vice,Nominee,2018,61
Parasite,Winner,2019,96
1917,Nominee,2019,78
Ford v Ferrari,Nominee,2019,81
The Irishman,Nominee,2019,94
Jojo Rabbit,Nominee,2019,58
Joker,Nominee,2019,59
Little Women,Nominee,2019,91
Marriage Story,Nominee,2019,94
Once Upon a Time in Hollywood,Nominee,2019,84
Nomadland,Winner,2020,93
The Father,Nominee,2020,88
Judas and the Black Messiah,Nominee,2020,85
Mank,Nominee,2020,79
Minari,Nominee,2020,89
Promising Young Woman,Nominee,2020,73
Sound of Metal,Nominee,2020,82
The Trial of the Chicago 7,Nominee,2020,76
